label,count
Carbohydrate (g),23.30
Fat (g),1.50
Protein (g),9.38
Fibre (g),11.00
Water (g),37.00
Monosaccharides (g),22.90
Disaccharides (g),0.10
Sucrose (g),0.00
Wholegrain total (g),0.00
Sugar total (g),
Salt (g),10.75
