label,count
Carbohydrate (g),1525.70
Fat (g),78.50
Protein (g),0.70
Fibre (g),8.50
Water (g),2.60
Monosaccharides (g),0.00
Disaccharides (g),0.07
Sucrose (g),0.50
Wholegrain total (g),0.50
Salt (g),2.00
