Food,CO2 footprint,Category,Energy (kcal),Energy (kJ),Carbohydrate (g),Fat (g),Protein (g),Fibre (g),Water (g),Alcohol (g),Ash (g),Monosaccharides (g),Disaccharides (g),Sucrose (g),Wholegrain total (g),Sugar total (g),Saturated fatty acids (g),Fatty acids 4:0-10:0 (g),Fatty acid 12:0 (g),Fatty acid 14:0 (g),Fatty acid 16:0 (g),Fatty acid 18:0 (g),Fatty acid 20:0 (g),Monounsaturated fatty acids (g),Fatty acid 16:1 (g),Fatty acid 18:1 (g),Sum of polyunsaturated fatty acids (g),Fatty acids 18:2 (g),Fatty acid 18:3 (g),Fatty acid 20:4 (g),EPA (Fatty acid 20:5) (g),DPA (Fatty acid 22:5) (g),DHA (Fatty acid 22:6) (g),Cholesterol (mg),Retinol (µg),Retinolequivalents (µg),Beta-carotene (µg),Vitamin D (µg),Vitamin E (mg),Vitamin K (µg),Thiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinequivalents (mg),Vitamin B-6 (mg),Vitamin B-12 (µg),Folate (µg),Phosphorus (mg),Iodide (µg),Iron (mg),Calcium (mg),Potassium (mg),Magnesium (mg),Sodium (mg),Salt (g),Selenium (µg),Zinc (mg),Waste (e.g. peel) (%)
Sugar,1.2,sweets,341.30,1,428.10,64.70,3.00,9.20,7.60,14.00,0.00,1.50,0.40,0.50,0.50,100.00,,0.53,0.00,0.00,0.01,0.51,0.02,0.00,0.26,0.00,0.25,1.37,1.24,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,,0.33,0.11,0.00,5.70,7.23,0.33,0.00,20.00,250.00,0.50,3.50,27.00,350.00,89.00,2.00,0.01,1.00,2.40,0.00
Summer squash,0.7,vegetables,14.50,60.60,2.50,0.10,0.00,1.80,95.00,0.00,0.58,2.90,0.10,0.10,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.10,177.00,0.00,0.55,26.60,0.03,0.04,23.90,0.45,0.50,0.09,0.00,30.40,28.10,0.00,0.28,19.80,148.00,17.10,0.00,0.00,0.00,0.41,5.00
Sundried tomato,0.82,vegetables,167.10,699.10,23.30,1.50,9.38,11.00,37.00,0.00,17.80,22.90,0.10,0.00,0.00,,0.13,0.00,0.00,0.00,0.08,0.03,0.01,0.49,0.00,0.48,0.58,0.53,0.04,0.00,0.00,0.00,0.00,1.00,0.00,43.90,527.00,0.00,7.00,12.30,0.05,0.09,0.00,4.37,5.90,1.39,0.00,30.70,200.00,0.10,4.29,91.00,2,300.00,110.00,4,300.00,10.75,0.00,1.24,0.00
Sunflower oil,1.57,oils,884.30,3,700.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,10.42,0.00,0.00,0.10,5.83,3.25,0.29,28.87,0.10,28.58,56.31,56.21,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.50,4.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Swede,0.24,root vegetables,36.60,153.10,6.10,0.06,1.37,3.00,88.80,0.00,0.62,6.40,0.40,0.40,0.00,,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.03,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,1.20,14.00,0.00,0.00,3.70,0.05,0.03,57.10,1.48,1.70,0.22,0.00,50.80,30.40,0.00,0.23,41.80,166.00,9.10,7.70,0.02,0.00,0.15,13.00
Sweet pepper green,0.7,vegetables,18.50,77.50,3.00,0.06,0.50,2.00,94.10,0.00,0.35,2.90,0.10,0.10,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.70,161.00,0.00,0.65,11.80,0.02,0.00,109.00,0.68,0.80,0.19,0.00,19.50,15.20,0.00,0.29,9.70,110.00,8.20,0.00,0.00,0.00,0.14,15.00
Sweet pepper red,0.7,vegetables,22.40,93.90,4.10,0.23,0.50,0.90,93.40,0.00,0.89,4.80,0.10,0.10,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,39.90,417.00,0.00,2.55,6.50,0.02,0.05,144.00,0.79,0.90,0.24,0.00,56.70,14.90,0.00,0.28,7.70,116.00,7.60,0.00,0.00,0.00,0.16,15.00
Sweet pepper yellow,0.7,vegetables,23.50,98.40,4.30,0.15,0.50,1.40,93.20,0.00,0.47,4.80,0.20,0.20,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.80,133.00,0.00,2.13,5.00,0.03,0.00,163.00,0.81,0.90,0.22,0.00,41.20,16.10,0.00,0.30,7.40,123.00,8.00,0.00,0.00,0.00,0.13,15.00
Sweet potatoes,0.49,root vegetables,88.70,371.20,18.10,0.10,2.23,2.73,75.81,0.00,1.02,0.17,0.23,0.23,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.80,9.00,0.00,0.05,1.80,0.05,0.03,24.50,2.30,2.40,0.22,0.00,29.50,45.00,0.00,0.44,5.80,436.80,27.60,2.80,0.01,0.65,0.33,
Swiss chard,0.7,vegetables,21.20,88.60,2.60,0.20,1.80,0.80,93.00,0.00,1.60,0.20,0.10,0.10,0.00,,0.03,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.01,0.12,0.02,0.09,0.00,0.00,0.00,0.00,0.00,0.00,165.00,1,980.00,0.00,1.50,,0.04,0.09,30.00,0.40,0.70,0.20,0.00,30.00,46.00,,1.80,51.00,380.00,81.00,215.00,0.54,0.50,0.60,8.00
Tea, unbrewed,6.8,sweets,309.2,1293.9,61.8,0.4,11.7,3.7,5.3,0,17.1,0,0,0,0,,0.05,0,0,0,0.04,0.01,0,0.02,0,0.01,0.12,0.04,0.08,0,0,0,0,0,0,0,0,0,0,,0.05,0.69,0,12.6,14.55,0.73,0,10.3,442,,4,55,6596,363,130,0.33,0,3.2,0
Tofu cheese,2,cheese,73.60,308.00,0.00,4.20,7.80,2.50,84.70,0.00,0.80,0.40,0.80,0.80,0.00,,0.58,0.00,0.00,0.01,0.39,0.16,0.01,1.00,0.01,0.99,2.35,2.05,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,,0.06,0.03,0.00,0.10,1.40,0.50,0.00,130.00,126.00,,1.90,128.00,42.00,111.00,7.00,0.02,1.00,1.60,0.00
Tomato,1.47,vegetables,17.50,73.10,2.60,0.13,0.81,1.30,94.70,0.00,0.46,2.85,0.00,0.00,0.00,,0.02,0.00,0.00,0.00,0.02,0.00,0.00,0.02,0.00,0.01,0.06,0.06,0.01,0.00,0.00,0.00,0.00,0.00,0.00,43.20,518.00,0.00,0.74,3.40,0.03,0.00,14.80,0.58,0.70,0.10,0.00,16.60,22.50,0.20,0.19,12.50,240.00,9.00,2.00,0.01,0.00,0.09,0.00
Tomato paste (canned),0.82,vegetables,89.00,372.40,13.70,0.90,3.80,5.20,74.00,0.00,2.40,10.00,0.80,0.80,0.00,,0.17,0.00,0.00,0.00,0.14,0.02,0.00,0.10,0.00,0.10,0.45,0.39,0.04,0.00,0.00,0.00,0.00,0.00,0.00,123.30,1,480.00,0.00,2.30,,0.16,0.19,42.00,3.20,3.83,0.38,0.00,10.00,79.00,,3.00,35.00,930.00,51.00,65.00,0.16,0.40,0.80,0.00
