label,count
Carbohydrate (g),386.40
Fat (g),13.10
Protein (g),0.60
Fibre (g),6.25
Water (g),4.40
Monosaccharides (g),0.00
Disaccharides (g),0.01
Sucrose (g),0.23
Wholegrain total (g),0.17
Salt (g),305.70
