label,count
Carbohydrate (g),8.90
Fat (g),0.20
Protein (g),0.60
Fibre (g),1.90
Water (g),88.00
Monosaccharides (g),3.10
Disaccharides (g),5.10
Sucrose (g),5.10
Wholegrain total (g),0.00
Sugar total (g),
Salt (g),0.10
