label,count
Carbohydrate (g),3.00
Fat (g),0.06
Protein (g),0.50
Fibre (g),2.00
Water (g),94.10
Monosaccharides (g),2.90
Disaccharides (g),0.10
Sucrose (g),0.10
Wholegrain total (g),0.00
Sugar total (g),
Salt (g),0.00
