label,count
Cholesterol (mg),38.48
Vitamin D (µg),0.36
Vitamin E (mg),2.14
Vitamin K (µg),
Vitamin C (mg),4.90
Vitamin B-6 (mg),0.21
Folate (µg),30.80
Phosphorus (mg),124.30
Iodide (µg),
Iron (mg),1.61
Calcium (mg),47.10
Potassium (mg),415.90
Magnesium (mg),50.90
Sodium (mg),695.60
Selenium (µg),3.01
