label,count
Cholesterol (mg),81.01
Vitamin D (µg),0.25
Vitamin E (mg),1.01
Vitamin K (µg),
Vitamin C (mg),0.20
Vitamin B-6 (mg),0.09
Folate (µg),10.80
Phosphorus (mg),154.60
Iodide (µg),
Iron (mg),1.50
Calcium (mg),37.20
Potassium (mg),184.30
Magnesium (mg),19.90
Sodium (mg),738.00
Selenium (µg),8.72
