label,count
Carbohydrate (g),0.4
Fat (g),9.73
Protein (g),12.25
Fibre (g),0
Water (g),76.28
Monosaccharides (g),0.4
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),2.59
Sum of monounsaturated fatty acids (g),3.97
Sum of polyunsaturated fatty acids (g),1.46
Salt (g),0.36
