label,count
Carbohydrate (g),0.4
Fat (g),9.73
Protein (g),12.25
Fibre (g),0
Water (g),76.28
Monosaccharides (g),0.4
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),
Salt (g),0.36
