label,count
Carbohydrate (g),78.2
Fat (g),0.7
Protein (g),7.5
Fibre (g),0
Water (g),13
Monosaccharides (g),0.14
Disaccharides (g),0.02
Sucrose (g),0.02
Wholegrain total (g),0
Sugar total (g),0.2
Salt (g),0
