label,count
Carbohydrate (g),4.84
Fat (g),3
Protein (g),3.42
Fibre (g),0
Water (g),88
Monosaccharides (g),0.92
Disaccharides (g),2.7
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),
Salt (g),0.1
