label,count
Carbohydrate (g),3.7
Fat (g),0.2
Protein (g),0.81
Fibre (g),1.23
Water (g),93.35
Monosaccharides (g),3.65
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Salt (g),0.04
