label,count
Cholesterol (mg),26.10
Vitamin D (µg),0.33
Vitamin E (mg),0.67
Vitamin K (µg),6.10
Vitamin C (mg),0.00
Vitamin B-6 (mg),0.11
Folate (µg),10.50
Phosphorus (mg),179.00
Iodide (µg),23.00
Iron (mg),0.19
Calcium (mg),203.00
Potassium (mg),311.00
Magnesium (mg),20.80
Sodium (mg),78.80
Selenium (µg),2.40
