label,count
Carbohydrate (g),8.8
Fat (g),0.4
Protein (g),5.4
Fibre (g),5.5
Water (g),79
Monosaccharides (g),0.3
Disaccharides (g),3.7
Sucrose (g),3.7
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),0.08
Sum of monounsaturated fatty acids (g),0.03
Sum of polyunsaturated fatty acids (g),0.22
Salt (g),0
