label,count
Carbohydrate (g),4.43
Fat (g),12
Protein (g),3.1
Fibre (g),0
Water (g),79.8
Monosaccharides (g),0.05
Disaccharides (g),3.4
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),
Salt (g),0.09
