label,count
Carbohydrate (g),10.95
Fat (g),0.06
Protein (g),0.37
Fibre (g),3.86
Water (g),84.5
Monosaccharides (g),7.5
Disaccharides (g),1
Sucrose (g),1
Wholegrain total (g),0
Sugar total (g),
Salt (g),0
