label,count
Carbohydrate (g),0
Fat (g),7.8
Protein (g),15.3
Fibre (g),0
Water (g),75.6
Monosaccharides (g),0
Disaccharides (g),0
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),3.82
Sum of monounsaturated fatty acids (g),3.05
Sum of polyunsaturated fatty acids (g),0.42
Salt (g),0.19
