label,count
Carbohydrate (g),76.9
Fat (g),0.7
Protein (g),7.8
Fibre (g),1
Water (g),13
Monosaccharides (g),0.07
Disaccharides (g),0
Sucrose (g),0.04
Wholegrain total (g),0
Sugar total (g),0.1
Salt (g),0
