label,count
Carbohydrate (g),50.4
Fat (g),2.4
Protein (g),8.6
Fibre (g),4
Water (g),33.1
Monosaccharides (g),0.3
Disaccharides (g),4.1
Sucrose (g),0.1
Wholegrain total (g),19
Sugar total (g),
Salt (g),1.21
