label,count
Carbohydrate (g),3
Fat (g),40
Protein (g),2.11
Fibre (g),0
Water (g),54.4
Monosaccharides (g),0
Disaccharides (g),2.69
Sucrose (g),0
Wholegrain total (g),0
Sugar total (g),0
Sum of saturated fatty acids (g),25.63
Sum of monounsaturated fatty acids (g),9.98
Sum of polyunsaturated fatty acids (g),0.95
Salt (g),0.06
