label,count
Carbohydrate (g),13.70
Fat (g),0.90
Protein (g),3.80
Fibre (g),5.20
Water (g),74.00
Monosaccharides (g),10.00
Disaccharides (g),0.80
Sucrose (g),0.80
Wholegrain total (g),0.00
Salt (g),0.16
