label,count
Carbohydrate (g),18.10
Fat (g),0.10
Protein (g),2.23
Fibre (g),2.73
Water (g),75.81
Monosaccharides (g),0.17
Disaccharides (g),0.23
Sucrose (g),0.23
Wholegrain total (g),0.00
Salt (g),0.01
