label,count
Carbohydrate (g),64.70
Fat (g),3.00
Protein (g),9.20
Fibre (g),7.60
Water (g),14.00
Monosaccharides (g),0.40
Disaccharides (g),0.50
Sucrose (g),0.50
Wholegrain total (g),100.00
Salt (g),0.01
