label,count
Carbohydrate (g),0.41
Fat (g),87.81
Protein (g),1.46
Fibre (g),0.07
Water (g),9.13
Monosaccharides (g),0.04
Disaccharides (g),0.03
Sucrose (g),0.01
Wholegrain total (g),0.00
Salt (g),0.56
