label,count
Carbohydrate (g),64.40
Fat (g),0.20
Protein (g),0.70
Fibre (g),0.30
Water (g),34.50
Monosaccharides (g),
Disaccharides (g),
Sucrose (g),
Wholegrain total (g),
Salt (g),
