label,count
Carbohydrate (g),69.60
Fat (g),6.51
Protein (g),6.62
Fibre (g),7.62
Water (g),8.26
Monosaccharides (g),10.20
Disaccharides (g),14.70
Sucrose (g),14.10
Wholegrain total (g),43.00
Salt (g),0.38
