label,count
Carbohydrate (g),4.40
Fat (g),0.13
Protein (g),0.81
Fibre (g),1.50
Water (g),92.50
Monosaccharides (g),4.10
Disaccharides (g),0.00
Sucrose (g),0.00
Wholegrain total (g),0.00
Salt (g),0.01
