Food,CO2 footprint,Category,Energy (kcal),Energy (kJ),Carbohydrate (g),Fat (g),Protein (g),Fibre (g),Water (g),Alcohol (g),Ash (g),Monosaccharides (g),Disaccharides (g),Sucrose (g),Wholegrain total (g),Sugar total (g),Sum of saturated fatty acids (g),Fatty acids 4:0-10:0 (g),Fatty acid 12:0 (g),Fatty acid 14:0 (g),Fatty acid 16:0 (g),Fatty acid 18:0 (g),Fatty acid 20:0 (g),Sum of monounsaturated fatty acids (g),Fatty acid 16:1 (g),Fatty acid 18:1 (g),Sum of polyunsaturated fatty acids (g),Fatty acids 18:2 (g),Fatty acid 18:3 (g),Fatty acid 20:4 (g),EPA (Fatty acid 20:5) (g),DPA (Fatty acid 22:5) (g),DHA (Fatty acid 22:6) (g),Cholesterol (mg),Retinol (ug),Retinolequivalents (ug),Beta-carotene (ug),Vitamin D (ug),Vitamin E (mg),Vitamin K (ug),Thiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinequivalents (mg),Vitamin B-6 (mg),Vitamin B-12 (ug),Folate (ug),Phosphorus (mg),Iodide (ug),Iron (mg),Calcium (mg),Potassium (mg),Magnesium (mg),Sodium (mg),Salt (g),Selenium (ug),Zinc (mg),Waste (e.g. peel) (%)
celery,0.18,vegetables and mushrooms,13.3,55.5,1.5,0.1,0.7,1.8,95,0,0.9,0.9,0.3,0.3,0,0,0.02,0,0,0,0.02,0,0,0.02,0,0.02,0.04,0.04,0,0,0,0,0,0,0,9.2,110,0,0.2,0,0.04,0.08,7,0.5,0.62,0.09,0,9,26,1.9,0.4,70,320,8,62,0.16,1,0.4,20
sauerkraut,0.23,vegetables and mushrooms,16.8,70.3,2,0.2,0.9,1.7,93,0,2.2,0,0.1,0.1,0,0,0.04,0,0,0,0.04,0,0,0,0,0,0.11,0.03,0.08,0,0,0,0,0,0,1,12,0,0,0,0.02,0.02,15,0.1,0.25,0.1,0,40,28,0.7,1.1,42,260,13,320,0.8,0,0.3,0
tomato,1.47,vegetables and mushrooms,17.5,73.1,2.6,0.13,0.81,1.3,94.7,0,0.46,2.85,0,0,0,0,0.02,0,0,0,0.02,0,0,0.02,0,0.01,0.06,0.06,0.01,0,0,0,0,0,0,43.2,518,0,0.74,3.4,0.03,0,14.8,0.58,0.7,0.1,0,16.6,22.5,0.2,0.19,12.5,240,9,2,0.01,0,0.09,0
crushed tomatoes,0.82,vegetables and mushrooms,22.4,93.9,3.7,0.2,0.81,1.23,93.35,0,0.69,3.65,0,0,0,0,0.04,0,0,0,0.03,0.01,0,0.02,0,0.02,0.1,0.09,0.01,0,0,0,0,0,0,28.5,342,0,1.64,3.5,0.04,0.02,15,0.94,1.1,0.13,0,28.1,22,0,0.57,12,295,12.5,15.5,0.04,0,0.13,0
tomato pasta,0.82,vegetables and mushrooms,89,372.4,13.7,0.9,3.8,5.2,74,0,2.4,10,0.8,0.8,0,0,0.17,0,0,0,0.14,0.02,0,0.1,0,0.1,0.45,0.39,0.04,0,0,0,0,0,0,123.3,1480.00,0,2.3,0,0.16,0.19,42,3.2,3.83,0.38,0,10,79,0,3,35,930,51,65,0.16,0.4,0.8,0
tomato paste,0.82,vegetables and mushrooms,44,184.3,7.7,0.1,1.7,2.6,87,0,0.9,4.5,0.4,0.4,0,0,0.02,0,0,0,0.02,0,0,0.01,0,0.01,0.05,0.04,0,0,0,0,0,0,0,0,0,0,2.3,0,0.07,0.05,35,1.7,1.98,0.15,0,7.5,40,0,0.9,15,420,24,20,0.05,0.4,0.2,0
dried tomatoes,0.82,vegetables and mushrooms,167.1,699.1,23.3,1.5,9.38,11,37,0,17.8,22.9,0.1,0,0,0,0.13,0,0,0,0.08,0.03,0.01,0.49,0,0.48,0.58,0.53,0.04,0,0,0,0,1,0,43.9,527,0,7,12.3,0.05,0.09,0,4.37,5.9,1.39,0,30.7,200,0.1,4.29,91,2300.00,110,4300.00,10.75,0,1.24,0
cabbage,0.23,vegetables and mushrooms,29.5,123.4,4.7,0.1,1.13,2.58,90.8,0,0.65,5.3,0.4,0.4,0,0,0.02,0,0,0,0.02,0,0,0,0,0.01,0.06,0.01,0.04,0,0,0,0,0,0,0.5,6,0,0.03,44,0.05,0,46.2,0.32,0.5,0.17,0,19.1,24,0.7,0.21,41,240,11,7,0.02,0,0.12,20
stir-fry vegetables,0.7,vegetables and mushrooms,48.7,203.7,5.7,1.3,1.43,4.3,86,0,1.3,2.08,2.3,2.3,0,0,0.14,0,0,0,0.09,0.02,0.01,0.67,0,0.65,0.43,0.03,0.1,0,0,0,0,2,0,256.9,2600.00,0,1.3,20.6,0.06,0.06,9.7,0.48,0.7,0.15,0.06,42.4,37,2,0.64,44,226,16,220,0.55,5,0.35,0
peas,0.23,vegetables and mushrooms,71.7,300.2,8.8,0.4,5.4,5.5,79,0,0.9,0.3,3.7,3.7,0,0,0.08,0,0,0,0.07,0,0,0.03,0,0.03,0.22,0.18,0.04,0,0,0,0,0,0,45.8,550,0,0.13,0,0.41,0.13,40,2.1,3,0.17,0,65,130,0.2,2,31,370,40,1,0,0.2,1.3,60
lamb sweetbreads,13.35,other meat,131.1,548.7,0,7.8,15.3,0,75.6,0,1.3,0,0,0,0,0,3.82,0,0.05,0.36,1.61,1.67,0,3.05,0.19,2.76,0.42,0.16,0.16,0.1,0,0,0,250,7,7,0,0.4,0.44,0,0.03,0.25,18,3.7,6.51,0.03,6,13,400,0,1.7,8,420,21,75,0.19,3,1.9,0
lamb heart,13.35,other meat,119,497.9,0,5.6,17.1,0,76.3,0,1,0,0,0,0,0,2.16,0,0,0.15,0.87,1.07,0,1.66,0.09,1.46,0.53,0.32,0.12,0.09,0,0,0,140,7,7,0,0.4,0.37,0,0.48,0.9,7,6.9,10.04,0.29,8,20,210,1.9,3.6,7,280,21,140,0.35,3,2,22
the lamb liver,13.35,other meat,149.3,624.5,3.2,5.3,22,0,68,0,1.5,0,0,0,0,0,1.83,0,0,0.04,0.7,0.97,0.02,1.03,0.06,0.94,1.01,0.32,0.16,0.19,0.09,0.18,0.05,300,49000.00,49014.30,172,0.5,0.46,0,0.23,2.4,33,15,19.03,0.42,84,2000.00,435,7,4.9,5,290,19,76,0.19,9,4.7,9
lamb kidney,13.35,other meat,95.9,401.2,0,3.4,16.2,0,79.1,0,1.3,0,0,0,0,0,1.15,0,0,0.06,0.51,0.56,0.05,0.8,0.05,0.72,0.5,0.21,0.1,0.18,0,0,0,375,107,107.5,6,0.4,0.45,0,0.68,2.4,15,7.4,10.37,0.3,63,31,250,0,4.3,15,250,17,190,0.48,66,2.6,3
lamb heavy,13.35,other meat,191.3,800.3,0,14.6,15.3,0,69,0,1.1,0,0,0,0,0,7.3,0.06,0.11,0.92,3.24,2.41,0.21,5.47,0.45,4.86,1.14,0.63,0.14,0.04,0,0,0,180,53,53.6,7,0.4,0.21,0,0.17,0.49,7,4.9,7.71,0.17,7,19,170,0,2.2,6,250,21,97,0.24,5,2.5,20
orange juice,0.94,juices and nectars,47.9,200.3,10.6,0.2,0.7,0.1,88,0,0.4,4.8,0.7,0.7,0,0,0.02,0,0,0,0.02,0,0,0.04,0.01,0.03,0.06,0.03,0.01,0,0,0,0,0,0,10,120,0,0.24,0,0.09,0.03,50,0.4,0.52,0.04,0,30,17,0,0.2,11,200,11,1,0,0.2,0.1,0
coffee,4.02,coffee tea and cocoa,0,0,0.3,0,0,0,99.4,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0.6,0,0,0.1,6.4,3,0.01,3.1,102,8.4,4.3,0.01,0,0.02,0
apples,0.18,canned fruit and berries,47.9,200.3,10.58,0.05,0,2.32,86.88,0,0.23,6.54,3.38,3.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,22,0,0.32,2.7,0.01,0,4.8,0.12,0.12,0.04,0,2.9,6.8,0,0.88,3,61.6,3.6,0,0,0,0.03,8
lamb sausage,13.35,other meat,254.7,1065.70,4.8,19.3,15.88,0,56.9,0,3.1,0.4,0.17,0.17,0,0,8.58,0.01,0.02,0.54,4.39,2.94,0.03,7.97,0.7,6.93,0.88,0.63,0.17,0.03,0,0.02,0,62.7,118,122.1,45,0.16,2.94,16.4,0.1,0.17,0,3.84,6.8,0.17,1.95,4.9,160,4.4,2.38,16,230,16,970,2.43,21.71,3.51,22.9
peanut butter,2.5,nuts,615.4,2575.10,14.3,51,22.6,7.6,1.3,0,3.2,8.8,6.4,6.4,0,0,8.5,0,0,0,5.76,1.94,0,24.6,0,23.86,15.34,15.34,0,0,0,0,0,0,0,0,0,0,4.7,0,0.15,0.1,0,13.5,17.27,0.39,0,82,375,0,1.8,33,680,175,470,1.18,2,2.9,0
olive oil,1.75,oils,884.3,3700.00,0,100,0,0,0,0,0,0,0,0,0,0,14.34,0,0,0,11.09,2.68,0.38,72.56,1.15,70.74,8.8,8.13,0.67,0,0,0,0,0,0,1,11,0,17.5,51.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
palm-oil,0.3,oils,884.3,3700.00,0,100,0,0,0,0,0,0,0,0,0,0,47.13,0,0.1,0.96,40.53,4.78,0.38,38.53,0.19,38.14,10.04,9.75,0.29,0,0,0,0,0,0,1642.00,15430.00,0,17.9,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rape oil,0.8,oils,884.3,3700.00,0,100,0,0,0,0,0,0,0,0,0,0,7.07,0,0,0.1,4.3,1.63,0.57,61.28,0.19,59.27,27.4,18.83,8.47,0,0,0,0,0,0,0,0,0,26.1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mozzarella,7.28,cheese,255.1,1067.30,0,20.3,18.6,0,57.4,0,3.28,0,0,0,0,0,13.75,2.12,0.67,2.17,5.82,2.03,0.03,5.04,0.32,4.16,0.76,0.55,0.14,0.03,0,0.01,0,58,258,283,152,0.2,0.31,0,0.03,0.4,0,0.1,4.44,0.1,1.7,20,267,0,0,362,51,15,395,0.99,6,2.7,0
pasta,0.66,pasta,359.5,1504.00,71.9,1.2,12.5,3.1,10.6,0,0.7,0.3,0.2,0.2,0,0,0.13,0,0,0,0.12,0.01,0,0.17,0,0.16,0.5,0.46,0.05,0,0,0,0,0,0,0,0,0,0.7,0,0.09,0.06,0,1.7,3.78,0.06,0,12,162,0,1.3,27,197,48,2,0.01,1,1,0
onion,0.23,vegetables and mushrooms,53,221.9,8.23,1.14,1.34,2.12,85.5,0,1.71,3.38,1.69,1.69,0,0,0.14,0,0,0,0.09,0.02,0.01,0.61,0,0.59,0.33,0.24,0.09,0,0,0,0,0,3,3.4,4,0.04,0.31,0,0.04,0,5.3,0.16,0.34,0.16,0,16.1,38,60.2,0.25,36.7,214.7,12.8,475,1.19,0,0.12,7.9
carrot,0.14,potato and vegetable,36.4,152.1,6.6,0.24,0.69,2.42,89.45,0,0.58,3.2,3.05,3.05,0,0,0.05,0,0,0,0.05,0,0,0,0,0,0.14,0.12,0.02,0,0,0,0,0,0,861.5,8695.00,0,0.57,8,0.04,0,4.9,0.8,0.9,0.14,0,22.2,23,3,0.19,26,210,8,31,0.08,0,0.16,16
potato,0.08,potato and vegetable,78.6,328.8,16.4,0.1,1.74,2.09,78.81,0,0.91,0.52,0.32,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,8,0,0.07,1.2,0.06,0.03,23.6,2.01,2.3,0.21,0,19.1,43.1,0.2,0.4,4.4,378.5,21.8,3.1,0.01,0.05,0.22,0
potato buns,0.01,potato and vegetable,165.6,692.9,22.52,6.04,3.96,2.45,63.16,0,1.84,0.45,0.37,0.27,1,0,0.82,0.01,0,0.02,0.55,0.19,0.03,3.16,0.04,3.04,1.44,1.04,0.36,0.02,0,0,0.01,41.7,41.2,42.4,14,0.33,1.97,0,0.07,0.07,10.4,2,2.77,0.2,0.17,24.3,78.6,0,0.68,14.2,359.4,24.6,394.4,0.99,2.88,0.45,0
potato croquettes,0.01,potato and vegetable,189.4,792.5,25.5,8,3,1.5,60.4,0,1.6,0.4,0.4,0.2,0,0,1.4,0,0.01,0.04,0.88,0.44,0.05,5.18,0.02,4.98,1.07,0.53,0.03,0,0,0,0,44,1,1,0,0,0.1,0,0.15,0.1,5,1.7,2.2,0.19,0,7,91,0,0.9,49,250,18,300,0.75,0.1,0.3,0
soy beef,0.72,potato and vegetable,178.3,746.1,15.38,9.01,7.29,3.42,61.97,0,2.89,1.07,0.65,0.63,0,0,1.17,0.01,0.01,0.02,0.77,0.29,0.04,4.16,0.05,4.02,3.05,2.41,0.61,0.01,0,0,0.01,38.48,41.6,43.4,21,0.36,2.14,0,0.12,0.09,4.9,1.07,2.4,0.21,0.16,30.8,124.3,0,1.61,47.1,415.9,50.9,695.6,1.74,3.01,0.8,0
avorio rice,3.1,rice,358.3,1499.20,78.1,1.28,6.74,1.2,11.69,0,0.99,0.62,0.36,0.36,0,0,0.23,0,0,0,0.19,0.02,0.01,0.42,0,0.41,0.44,0.42,0.02,0,0,0,0,0,0,0,0,0,0.03,0.3,0.21,0.04,0,7.39,8.5,0.63,0,24.7,188,1,0.3,4.6,192,50.4,1,0,2.7,1.14,0
basmati rice,3.1,rice,358.8,1501.30,76.7,1,9.2,0.5,12,0,0.64,0,0.2,0.2,0,0,0.18,0,0,0,0.15,0.01,0.01,0.33,0,0.32,0.34,0.33,0.01,0,0,0,0,0,0,0,0,0,0,0,0.14,0.05,0,1.3,2.8,0.42,0,9,101,0,0.4,18,76,26,0,0,14,1.5,0
jasmine rice,3.1,rice,354.4,1482.80,78.2,0.7,7.5,0,13,0,0.64,0.14,0.02,0.02,0,0.2,0.12,0,0,0,0.1,0.01,0,0.23,0,0.22,0.24,0.23,0.01,0,0,0,0,0,0,0,0,0,0,0,0.04,0.05,0,0.7,2,0.75,0,11,68,0,0,0,56,10,0,0,0,1.6,0
rice long grain,3.1,rice,352.2,1473.80,76.9,0.7,7.8,1,13,0,0.64,0.07,0,0.04,0,0.1,0.12,0,0,0,0.1,0.01,0,0.23,0,0.22,0.24,0.23,0.01,0,0,0,0,0,0,0,0,0,0,0,0.04,0.05,0,0.5,1.8,0.56,0,9,132,0,0,0,52,9,0,0,0,1.3,0
rice round grain,3.1,rice,361,1510.60,80.2,0.8,6.4,1.1,11,0,0.49,0,0.2,0.2,0,0.2,0.14,0,0,0,0.12,0.01,0,0.26,0,0.25,0.27,0.26,0.01,0,0,0,0,0,0,0,0,0,0,0,0.2,0.05,0,1.3,2.4,0.2,0,9,96,0,0.2,0,96,28,1,0,0,1.1,0
wild rice,3.1,rice,360.4,1507.90,68.7,1.08,14.73,6.2,7.76,0,1.53,0,0,0,100,0,0.16,0,0,0,0.14,0.01,0,0.16,0,0.16,0.68,0.38,0.3,0,0,0,0,0,0,0,0,0,0,0,0.12,0.26,0,6.73,9.19,0.39,0,95,433,0,1.96,21,427,177,7,0.02,2.8,5.96,0
butter,6.5,butter,728.8,3049.30,0.5,82,0.4,0,15.91,0,0.57,0,0.5,0,0,0,54.99,8.14,2.77,8.81,24.8,7.67,0.13,19.1,1.32,16.59,2.95,2.24,0.51,0.09,0,0,0,256,588,619.9,380,0.51,2.1,7.4,0,0,0,0,0.1,0,0,0,0,4,0,0,0,0,480,1.2,0,0,0
tofu sojab_nsost,2,vegetarian dairy,73.6,308,0,4.2,7.8,2.5,84.7,0,0.8,0.4,0.8,0.8,0,0,0.58,0,0,0.01,0.39,0.16,0.01,1,0.01,0.99,2.35,2.05,0.29,0,0,0,0,0,0,0,0,0,1,0,0.06,0.03,0,0.1,1.4,0.5,0,130,126,0,1.9,128,42,111,7,0.02,1,1.6,0
quorn fungus protein minced pieces fillet,3.7,vegetarian meat,103.7,434,5,2.1,13.7,4.8,73,0,1.4,0.8,0,0,0,0,0.6,0,0,0.01,0.39,0.15,0,0.7,0.02,0.41,1.9,0.99,0.37,0,0,0,0,0,0,0,0,0,0,0,1.2,0.3,0,0.4,2.68,0.08,0.3,21,190,0,0.5,28.8,128,36.5,330,0.83,0,8,0
vegetarian mince soy protein,0.72,vegetarian meat,168.4,704.7,5.5,6.81,17.65,7.4,59.72,0,2.94,0,0,0.05,0,0,0.73,0.02,0,0,0.42,0.22,0.02,1.38,0.01,1.35,3.32,3.26,0.07,0,0,0,0,0,0,0,0,0,3.18,2.4,0.51,0.27,0,1.79,4.7,0.35,0,138,291,2,3.56,103,244,125,271,0.68,6.6,1.94,0
egg,2.12,egg,137.4,575.1,0.4,9.73,12.25,0,76.28,0,0.84,0.4,0,0,0,0,2.59,0,0,0.03,1.89,0.66,0,3.97,0.24,3.68,1.46,1.11,0.09,0.13,0,0,0.1,340,233,233.2,0,1.43,5.57,30.2,0.08,0.45,0,0,3.1,0.1,1.47,85.8,184.3,28.6,1.68,52.1,131.6,11.7,142.1,0.36,22.65,1.31,12
mayonnaise,1.95,other,784.3,3281.50,0.41,87.81,1.46,0.07,9.13,0,0.82,0.04,0.03,0.01,0,0,9.29,0,0,0.05,6.58,1.93,0.42,57.5,0.57,55.7,16.97,12.44,4.42,0.03,0,0,0.02,75.32,53.3,53.7,4,0.29,20.5,0,0.02,0.05,0.9,0,0.34,0.02,0.29,18.8,43.5,0,0.35,33.3,21.9,6.5,222.1,0.56,4.76,0.29,0
minced meat,16,other meat,204.5,855.6,0,15,19.38,0,66.4,0,0.9,0,0,0,0,0,6.6,0,0.01,0.43,3.53,2.04,0.02,6.86,0.63,5.91,0.65,0.43,0.1,0.04,0.01,0.02,0,61.7,10.5,12.8,28,0.15,0.67,8.2,0.06,0.15,0,4.37,7.9,0.26,1.57,3.3,160,2.7,1.94,6.6,280,20,83,0.21,5.26,4.91,0
lamb shoulder,13.35,lamb,133.6,558.8,0,5.9,20.13,0,73.1,0,1,0,0,0,0,0,2.44,0,0.02,0.21,1.2,0.77,0.01,2.38,0.12,2.18,0.45,0.28,0.07,0.04,0.02,0.02,0.01,63.2,6.6,6.6,0,0,0.35,8,0.16,0.24,0,5.34,9,0.21,2.36,1,190,4.3,1.38,4.9,310,23,78,0.2,7.47,3.67,30
lamb,13.35,lamb,216.6,906,4.67,15.23,14.95,0.31,61.93,0,2.48,0.21,0.84,0.06,1,0,6.92,0.03,0.04,0.44,3.02,2.77,0.03,5.68,0.27,5.24,0.99,0.7,0.17,0.03,0.02,0.02,0.01,81.01,41.8,42,2,0.25,1.01,0,0.09,0.17,0.2,3.54,6.34,0.09,1.07,10.8,154.6,0,1.5,37.2,184.3,19.9,738,1.85,8.72,3.02,0
lamb chop,13.35,lamb,232.2,971.6,0,17.3,19,0,62.4,0,0.8,0,0,0,0,0,7.89,0.03,0.05,0.73,3.68,2.64,0.03,6.7,0.35,6.12,0.89,0.64,0.17,0.02,0.02,0.03,0,69.9,20.2,20.2,0,0,0.41,14.5,0.17,0.21,0,5.93,9.4,0.29,0.88,1,170,4.6,1.45,12,260,21,72,0.18,4.62,2.12,30
lamb chop,13.35,lamb,232.2,971.6,0,17.3,19,0,62.4,0,0.8,0,0,0,0,0,7.89,0.03,0.05,0.73,3.68,2.64,0.03,6.7,0.35,6.12,0.89,0.64,0.17,0.02,0.02,0.03,0,69.9,20.2,20.2,0,0,0.41,14.5,0.17,0.21,0,5.93,9.4,0.29,0.88,1,170,4.6,1.45,12,260,21,72,0.18,4.62,2.12,30
lamb,13.35,lamb,136.7,571.9,0,4.2,24.5,0,70.3,0,1,0,0,0,0,0,2.02,0.02,0.03,0.25,0.9,0.67,0.06,1.51,0.12,1.34,0.32,0.17,0.04,0.01,0,0,0,78,53,53.6,7,0.4,0.7,0,0.18,0.3,0,4.3,8.79,0.2,1.2,2,190,0,1.5,20,220,17,66,0.17,1.4,3.4,53
lamb back,13.35,lamb,176.7,739.5,0,11.9,17.6,0,69.5,0,1,0,0,0,0,0,5.95,0.05,0.09,0.75,2.64,1.96,0.17,4.46,0.36,3.96,0.93,0.51,0.11,0.03,0,0,0,78,53,53.6,7,0.4,0.7,0,0.18,0.3,0,4.3,7.53,0.2,1.2,5,173,0,1.5,18,220,17,66,0.17,1.4,3.4,32
leg of lamb,13.35,lamb,111.5,466.5,0,2.6,20.88,0,74.5,0,1.1,0,0,0,0,0,1.01,0,0.01,0.08,0.51,0.32,0,1.03,0.05,0.94,0.26,0.15,0.04,0.03,0.01,0.01,0,61.9,3.9,3.9,0,0,0.27,5.3,0.21,0.28,0,7.31,11.1,0.34,1.57,1,220,4.6,2.08,4.3,350,27,68,0.17,9.58,3.51,26
lamb thin flank,13.35,lamb,183.7,768.8,0,12.6,17.8,0,68.6,0,1,0,0,0,0,0,6.3,0.05,0.1,0.79,2.8,2.08,0.18,4.72,0.38,4.19,0.98,0.54,0.12,0.04,0,0,0,78,53,53.6,7,0.4,0.7,0,0.18,0.3,0,4.3,7.56,0.2,1.2,5,166,0,1.6,15,220,17,66,0.17,1.4,3.4,29
lamb dorsal neck lamb,13.35,lamb,176.7,739.5,0,11.9,17.6,0,69.5,0,1,0,0,0,0,0,5.95,0.05,0.09,0.75,2.64,1.96,0.17,4.46,0.36,3.96,0.93,0.51,0.11,0.03,0,0,0,78,53,53.6,7,0.4,0.7,0,0.18,0.3,0,4.3,7.53,0.2,1.2,5,173,0,1.5,18,220,17,66,0.17,1.4,3.4,32
garlic,0.23,vegetables and mushrooms,159.7,668,31.1,0.5,6.4,1.5,59,0,1.5,3,0.9,0.9,0,0,0.09,0,0,0,0.09,0,0,0.01,0,0.01,0.25,0.23,0.02,0,0,0,0,0,0,0,0,0,0.01,0,0.2,0.11,31,0.7,1.77,0.13,0,3,153,2.7,1.7,181,400,25,17,0.04,20,1,13
cream,2.6,heavy cream,374.5,1566.90,3,40,2.11,0,54.4,0,0.48,0,2.69,0,0,0,25.63,2.91,1.29,4.16,12.44,4.04,0.08,9.98,0.83,8.66,0.95,0.6,0.26,0.04,0,0.04,0,114.3,344.5,369.3,298,0.09,1.02,11.7,0.03,0.09,0.4,0.04,0.5,0.03,0.36,8.9,63,7.3,0.04,75,100,7,24,0.06,1.29,0.3,0
romaine lettuce,0.7,vegetables and mushrooms,16.4,68.8,0.9,0.2,1.88,1.77,94.5,0,0.73,1.2,0.1,0.1,0,0,0.03,0,0,0,0,0,0,0.01,0,0,0.11,0,0.08,0,0,0,0,0,0,90.8,1090.00,0,0.27,129,0.03,0.06,6,0.45,0.8,0.08,0,88.8,28,1,0.54,46,300,17,7,0.02,0,0.31,0
rice,2.17,rice,364.6,1525.70,78.5,0.7,8.5,2.6,9,0,0.7,0.07,0.5,0.5,0,0.6,0.12,0,0,0,0.1,0.01,0,0.23,0,0.22,0.24,0.23,0.01,0,0,0,0,0,0,0,0,0,0,0,0.25,0.02,0,4,5.4,0.44,0,8,165,0,0.4,73,158,30,2,0.01,0,0.7,0
