Food,CO2 footprint,Category,Energy (kcal),Energy (kJ),Carbohydrate (g),Fat (g),Protein (g),Fibre (g),Water (g),Alcohol (g),Ash (g),Monosaccharides (g),Disaccharides (g),Sucrose (g),Wholegrain total (g),Sugar total (g),Sum of saturated fatty acids (g),Fatty acids 4:0-10:0 (g),Fatty acid 12:0 (g),Fatty acid 14:0 (g),Fatty acid 16:0 (g),Fatty acid 18:0 (g),Fatty acid 20:0 (g),Sum of monounsaturated fatty acids (g),Fatty acid 16:1 (g),Fatty acid 18:1 (g),Sum of polyunsaturated fatty acids (g),Fatty acids 18:2 (g),Fatty acid 18:3 (g),Fatty acid 20:4 (g),EPA (Fatty acid 20:5) (g),DPA (Fatty acid 22:5) (g),DHA (Fatty acid 22:6) (g),Cholesterol (mg),Retinol (ug),Retinolequivalents (ug),Beta-carotene (ug),Vitamin D (ug),Vitamin E (mg),Vitamin K (ug),Thiamin (mg),Riboflavin (mg),Vitamin C (mg),Niacin (mg),Niacinequivalents (mg),Vitamin B-6 (mg),Vitamin B-12 (ug),Folate (ug),Phosphorus (mg),Iodide (ug),Iron (mg),Calcium (mg),Potassium (mg),Magnesium (mg),Sodium (mg),Salt (g),Selenium (ug),Zinc (mg),Waste (e.g. peel) (%)
cherimoya,0.92,fruit and berries,99.1,414.8,21.1,0.4,1.3,2.4,74,0,0.8,11.2,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,6,0,0.1,0,0.1,0.11,9,1.3,1.52,0.05,0,5,40,0,0.5,23,113,14,1,0,1,0.1,35
pomegranate,0.92,fruit and berries,55.7,233.1,7,0.6,0.7,10,81,0,0.7,9,1,1,0,0,0.09,0,0,0,0.07,0.01,0.01,0.23,0,0.23,0.13,0.11,0.02,0,0,0,0,0,0,3.3,40,0,0.92,0,0.03,0.03,6,0.3,0.42,0.1,0,10,8,0,0.3,3,260,3,3,0.01,1,0.2,44
strawberries,0.43,fruit and berries,41.2,172.4,8.29,0.21,0.49,1.9,88.73,0,0.37,7.3,0.6,0.6,0,0,0.04,0,0,0,0.04,0.01,0,0.02,0,0.02,0.11,0.07,0.04,0,0,0,0,0,0,0.8,10,0,0.55,5,0.01,0.02,60.8,0.44,0.5,0.07,0,85.7,20,0.6,0.34,18.1,129.5,11,1,0,0,0.2,3
turkey fillet,7.31,bird,106,443.5,0,0.9,24.13,0,74,0,1,0,0,0,0,0,0.3,0,0,0.01,0.2,0.08,0,0.29,0.03,0.25,0.23,0.17,0.01,0.03,0,0.01,0,51,8.1,8.1,0,0.25,0.16,41,0.12,0.13,0,8.85,13.3,0.71,1.13,7.7,220,2.2,0.38,4.5,320,29,97,0.24,13.79,1.14,0
turkey,7.31,bird,126,527.2,0,4.6,21,0,73.5,0,0.9,0,0,0,0,0,1.5,0,0,0.07,1.01,0.4,0,1.17,0.14,0.98,1.38,1.01,0.1,0.06,0.04,0.02,0.11,81,38,38,0,1.4,0.5,0,0.08,0.1,0,8,11.85,0.43,0.4,9,190,0,1.1,7,285,22,55,0.14,5,2,28
of chickens,3.62,bird,104.5,437.1,0,1.2,23.1,0,74.68,0,1.02,0,0,0,0,0,0.38,0,0,0.01,0.29,0.08,0,0.58,0.09,0.47,0.17,0.14,0.01,0.01,0,0,0.01,58,7,7,0,0.4,1.1,0,0.24,0.14,0,12,16.24,0.9,0.26,23,196,0,0.72,11,255,28,65,0.16,11.2,0.8,0
chicken,3.62,bird,114.8,480.2,0,3.1,21.5,0,74.4,0,1,0,0,0,0,0,0.83,0,0,0.03,0.62,0.17,0,1.24,0.2,1.01,0.38,0.3,0.02,0.01,0.01,0.01,0.01,70,16,16,0,0.4,1.1,0,0.07,0.14,0,8.2,12.14,0.43,0.4,23,173,0.4,0.9,12,230,25,77,0.19,11.2,1.5,0
aubergine,0.7,vegetables and mushrooms,18.9,79.1,2.2,0.1,1.13,2.35,93.7,0,0.52,2.4,0.2,0.2,0,0,0.02,0,0,0,0.01,0,0,0.01,0,0.01,0.04,0.03,0.01,0,0,0,0,0,0,2.6,31,0,0.09,5.5,0.02,0,3.3,0.58,0.8,0.04,0,21.3,24,0,0.21,10,210,14,2,0.01,0,0.16,19
cauliflower,0.29,vegetables and mushrooms,24.4,102.1,2.6,0.17,1.94,2.33,92.2,0,0.78,2.1,0.6,0.6,0,0,0.04,0,0,0,0.04,0,0,0.01,0,0.01,0.08,0.02,0.05,0,0,0,0,0,0,0.5,6,0,0.1,27.3,0.06,0.05,79.1,0.52,0.8,0.18,0,88.4,43,0.8,0.34,23,340,11,6,0.02,0,0.25,21
broccoli,1.31,vegetables and mushrooms,35.2,147.3,3.12,0.27,3.5,3.1,89.1,0,0.91,1.65,0.2,0.2,0,0,0.04,0,0,0,0.04,0,0,0.01,0,0.01,0.09,0.03,0.06,0,0,0,0,0,0,39.2,470,0,0.36,0,0.08,0.12,83,0.61,1.19,0.21,0,175,81.3,0.8,0.66,62,332,23,3.5,0.01,0.5,0.4,39
brunkul,0.23,vegetables and mushrooms,47.5,198.9,6.99,1.01,1.37,2.44,86.22,0,1.93,6.28,1.4,1.4,0,0,0.12,0,0,0,0.08,0.02,0,0.53,0,0.52,0.3,0.18,0.11,0,0,0,0,0,2.7,3.4,8,0.02,0.25,0,0.03,0.01,15.6,0.34,0.56,0.1,0.01,7.6,28.4,0,0.28,41.7,176.3,12.4,509.7,1.28,0.06,0.13,0
brussels sprouts,0.23,vegetables and mushrooms,43.6,182.4,4.7,0.3,3.4,4.2,86,0,1.4,2,0.6,0.6,0,0,0.05,0,0,0,0.04,0,0.01,0.01,0,0.01,0.18,0.04,0.14,0,0,0,0,0,0,35.8,430,0,0.88,0,0.14,0.09,85,0.7,1.27,0.22,0,159,69,0.3,1.4,42,390,23,7,0.02,1,0.5,23
witloof,0.7,vegetables and mushrooms,13.6,57,1.1,0.1,1,2.2,95,0,0.6,0.2,0.7,0.7,0,0,0.02,0,0,0,0.02,0,0,0,0,0,0.04,0.04,0.01,0,0,0,0,0,0,4,48,0,0.1,0,0.07,0.14,4,0.5,0.67,0.05,0,52,21,0.4,0.5,22,187,7,2,0.01,1,0.2,11
